file,status,error
[UFC-7_85fb59ad86b275bbe7419c59c76906e1]_Efeito_esofagoprotetor_de_um_biopol__mero__a_goma_.pdf,ok,"2026/02/19 20:54:38 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_85fb59ad86b275bbe7419c59c76906e1]_Efeito_esofagoprotetor_de_um_biopol__mero__a_goma_.pdf pdf 2026/02/19 20:54:39 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_85fb59ad86b275bbe7419c59c76906e1]_Efeito_esofagoprotetor_de_um_biopol__mero__a_goma_.txt 2026/02/19 20:54:39 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_85fb59ad86b275bbe7419c59c76906e1]_Efeito_esofagoprotetor_de_um_biopol__mero__a_goma_.pdf pdf false 1.0070114s 2026/02/19 20:54:39 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_85fb59ad86b275bbe7419c59c76906e1]_Efeito_esofagoprotetor_de_um_biopol__mero__a_goma_.pdf"
[UFC-7_988e31ac1a02682de181c8e8cb031007]_Caracteriza____o_e_estudo_da_aplicabilidade_do_bio.pdf,ok,"2026/02/19 20:54:40 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_988e31ac1a02682de181c8e8cb031007]_Caracteriza____o_e_estudo_da_aplicabilidade_do_bio.pdf pdf 2026/02/19 20:54:41 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_988e31ac1a02682de181c8e8cb031007]_Caracteriza____o_e_estudo_da_aplicabilidade_do_bio.txt 2026/02/19 20:54:41 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_988e31ac1a02682de181c8e8cb031007]_Caracteriza____o_e_estudo_da_aplicabilidade_do_bio.pdf pdf false 1.2970762s 2026/02/19 20:54:41 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_988e31ac1a02682de181c8e8cb031007]_Caracteriza____o_e_estudo_da_aplicabilidade_do_bio.pdf"
[UFC-7_bb347466f0ae18399a2a091a79cd7b26]_Desidrata____o_de_polpa_de_manga_e_suco_de_caju_in.pdf,ok,"2026/02/19 20:54:41 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_bb347466f0ae18399a2a091a79cd7b26]_Desidrata____o_de_polpa_de_manga_e_suco_de_caju_in.pdf pdf 2026/02/19 20:54:41 No text rows found on page %d 4 2026/02/19 20:54:42 No text rows found on page %d 51 2026/02/19 20:54:43 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_bb347466f0ae18399a2a091a79cd7b26]_Desidrata____o_de_polpa_de_manga_e_suco_de_caju_in.txt 2026/02/19 20:54:43 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_bb347466f0ae18399a2a091a79cd7b26]_Desidrata____o_de_polpa_de_manga_e_suco_de_caju_in.pdf pdf false 1.8058337s 2026/02/19 20:54:43 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_bb347466f0ae18399a2a091a79cd7b26]_Desidrata____o_de_polpa_de_manga_e_suco_de_caju_in.pdf"
[UFC-7_bd79abacd709279e03cc6e6c2a73dbd8]_Desenvolvimento_de_uma_bebida_fermentada____base_d.pdf,ok,"2026/02/19 20:54:43 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_bd79abacd709279e03cc6e6c2a73dbd8]_Desenvolvimento_de_uma_bebida_fermentada____base_d.pdf pdf 2026/02/19 20:54:44 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_bd79abacd709279e03cc6e6c2a73dbd8]_Desenvolvimento_de_uma_bebida_fermentada____base_d.txt 2026/02/19 20:54:44 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_bd79abacd709279e03cc6e6c2a73dbd8]_Desenvolvimento_de_uma_bebida_fermentada____base_d.pdf pdf false 1.12059s 2026/02/19 20:54:44 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_bd79abacd709279e03cc6e6c2a73dbd8]_Desenvolvimento_de_uma_bebida_fermentada____base_d.pdf"
[UFC-7_d382bdede3442d0974d4ebf10047eab2]_Processamento_de_suco_de_caju__Anacardium_occident.pdf,ok,"2026/02/19 20:54:44 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_d382bdede3442d0974d4ebf10047eab2]_Processamento_de_suco_de_caju__Anacardium_occident.pdf pdf 2026/02/19 20:54:45 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_d382bdede3442d0974d4ebf10047eab2]_Processamento_de_suco_de_caju__Anacardium_occident.txt 2026/02/19 20:54:45 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_d382bdede3442d0974d4ebf10047eab2]_Processamento_de_suco_de_caju__Anacardium_occident.pdf pdf false 849.7102ms 2026/02/19 20:54:45 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_d382bdede3442d0974d4ebf10047eab2]_Processamento_de_suco_de_caju__Anacardium_occident.pdf"
[UFC-7_db7ee032cb690e2ce79bd17687f2b3ad]_Processamento_de_fibra_de_caju_por_extra____o_de_s.pdf,ok,"2026/02/19 20:54:45 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_db7ee032cb690e2ce79bd17687f2b3ad]_Processamento_de_fibra_de_caju_por_extra____o_de_s.pdf pdf 2026/02/19 20:54:46 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_db7ee032cb690e2ce79bd17687f2b3ad]_Processamento_de_fibra_de_caju_por_extra____o_de_s.txt 2026/02/19 20:54:46 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_db7ee032cb690e2ce79bd17687f2b3ad]_Processamento_de_fibra_de_caju_por_extra____o_de_s.pdf pdf false 751.9535ms 2026/02/19 20:54:46 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC-7_db7ee032cb690e2ce79bd17687f2b3ad]_Processamento_de_fibra_de_caju_por_extra____o_de_s.pdf"
[UFCG_94a42571832b0b95e3380a4a9f3f2430]_Processo_de_obten____o_de_etanol_por_hidr__lise_en.pdf,ok,"2026/02/19 20:54:46 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFCG_94a42571832b0b95e3380a4a9f3f2430]_Processo_de_obten____o_de_etanol_por_hidr__lise_en.pdf pdf 2026/02/19 20:54:46 No text rows found on page %d 51 2026/02/19 20:54:47 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFCG_94a42571832b0b95e3380a4a9f3f2430]_Processo_de_obten____o_de_etanol_por_hidr__lise_en.txt 2026/02/19 20:54:47 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFCG_94a42571832b0b95e3380a4a9f3f2430]_Processo_de_obten____o_de_etanol_por_hidr__lise_en.pdf pdf false 623.1473ms 2026/02/19 20:54:47 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFCG_94a42571832b0b95e3380a4a9f3f2430]_Processo_de_obten____o_de_etanol_por_hidr__lise_en.pdf"
[UFC_7_0eccea928da3cb82c6fbf898425a34fe]_Desenvolvimento_de_n__ctares_mistos____base_de_caj.pdf,ok,"2026/02/19 20:54:47 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_0eccea928da3cb82c6fbf898425a34fe]_Desenvolvimento_de_n__ctares_mistos____base_de_caj.pdf pdf 2026/02/19 20:54:47 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_0eccea928da3cb82c6fbf898425a34fe]_Desenvolvimento_de_n__ctares_mistos____base_de_caj.txt 2026/02/19 20:54:47 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_0eccea928da3cb82c6fbf898425a34fe]_Desenvolvimento_de_n__ctares_mistos____base_de_caj.pdf pdf false 149.3578ms 2026/02/19 20:54:47 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_0eccea928da3cb82c6fbf898425a34fe]_Desenvolvimento_de_n__ctares_mistos____base_de_caj.pdf"
[UFC_7_155bb9a7cef2bffab6fbc00b43ecfd57]_Desenvolvimento_de_bebida_vegetal____base_de_am__n.pdf,ok,"2026/02/19 20:54:47 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_155bb9a7cef2bffab6fbc00b43ecfd57]_Desenvolvimento_de_bebida_vegetal____base_de_am__n.pdf pdf 2026/02/19 20:54:48 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_155bb9a7cef2bffab6fbc00b43ecfd57]_Desenvolvimento_de_bebida_vegetal____base_de_am__n.txt 2026/02/19 20:54:48 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_155bb9a7cef2bffab6fbc00b43ecfd57]_Desenvolvimento_de_bebida_vegetal____base_de_am__n.pdf pdf false 564.126ms 2026/02/19 20:54:48 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_155bb9a7cef2bffab6fbc00b43ecfd57]_Desenvolvimento_de_bebida_vegetal____base_de_am__n.pdf"
[UFC_7_231a484d995ddefa096eb7c2fbf806f9]_Avalia____o_sensorial_e_caracteriza____o_de_cervej.pdf,ok,"2026/02/19 20:54:48 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_231a484d995ddefa096eb7c2fbf806f9]_Avalia____o_sensorial_e_caracteriza____o_de_cervej.pdf pdf 2026/02/19 20:54:48 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_231a484d995ddefa096eb7c2fbf806f9]_Avalia____o_sensorial_e_caracteriza____o_de_cervej.txt 2026/02/19 20:54:48 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_231a484d995ddefa096eb7c2fbf806f9]_Avalia____o_sensorial_e_caracteriza____o_de_cervej.pdf pdf false 55.8523ms 2026/02/19 20:54:48 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_231a484d995ddefa096eb7c2fbf806f9]_Avalia____o_sensorial_e_caracteriza____o_de_cervej.pdf"
[UFC_7_25560a39a214a7125ebac33f0994b334]_Avalia____o_da_toxicidade_de_suco_de_caju__Anacard.pdf,ok,"2026/02/19 20:54:48 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_25560a39a214a7125ebac33f0994b334]_Avalia____o_da_toxicidade_de_suco_de_caju__Anacard.pdf pdf 2026/02/19 20:54:49 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_25560a39a214a7125ebac33f0994b334]_Avalia____o_da_toxicidade_de_suco_de_caju__Anacard.txt 2026/02/19 20:54:49 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_25560a39a214a7125ebac33f0994b334]_Avalia____o_da_toxicidade_de_suco_de_caju__Anacard.pdf pdf false 1.1648754s 2026/02/19 20:54:49 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_25560a39a214a7125ebac33f0994b334]_Avalia____o_da_toxicidade_de_suco_de_caju__Anacard.pdf"
[UFC_7_269f49e2ea81fe1c1c7a728bcec58e13]_Efeito_do_suco_de_caju__Anacardium_occidentale_L__.pdf,ok,"2026/02/19 20:54:49 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_269f49e2ea81fe1c1c7a728bcec58e13]_Efeito_do_suco_de_caju__Anacardium_occidentale_L__.pdf pdf 2026/02/19 20:54:50 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_269f49e2ea81fe1c1c7a728bcec58e13]_Efeito_do_suco_de_caju__Anacardium_occidentale_L__.txt 2026/02/19 20:54:50 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_269f49e2ea81fe1c1c7a728bcec58e13]_Efeito_do_suco_de_caju__Anacardium_occidentale_L__.pdf pdf false 881.3825ms 2026/02/19 20:54:50 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_269f49e2ea81fe1c1c7a728bcec58e13]_Efeito_do_suco_de_caju__Anacardium_occidentale_L__.pdf"
[UFC_7_30ec96eece353dc45e1b9445cf1b8254]_Estudo_cin__tico_da_fermenta____o_de_kefir_e_kombu.pdf,ok,"2026/02/19 20:54:50 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_30ec96eece353dc45e1b9445cf1b8254]_Estudo_cin__tico_da_fermenta____o_de_kefir_e_kombu.pdf pdf 2026/02/19 20:54:51 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_30ec96eece353dc45e1b9445cf1b8254]_Estudo_cin__tico_da_fermenta____o_de_kefir_e_kombu.txt 2026/02/19 20:54:51 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_30ec96eece353dc45e1b9445cf1b8254]_Estudo_cin__tico_da_fermenta____o_de_kefir_e_kombu.pdf pdf false 782.615ms 2026/02/19 20:54:51 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_30ec96eece353dc45e1b9445cf1b8254]_Estudo_cin__tico_da_fermenta____o_de_kefir_e_kombu.pdf"
[UFC_7_314767da999ae7ca39886fb7a836a296]_Estudo_qu__mico_e_tecnol__gico_do_caju__Anacardium.pdf,ok,"2026/02/19 20:54:51 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_314767da999ae7ca39886fb7a836a296]_Estudo_qu__mico_e_tecnol__gico_do_caju__Anacardium.pdf pdf 2026/02/19 20:54:52 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_314767da999ae7ca39886fb7a836a296]_Estudo_qu__mico_e_tecnol__gico_do_caju__Anacardium.txt 2026/02/19 20:54:52 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_314767da999ae7ca39886fb7a836a296]_Estudo_qu__mico_e_tecnol__gico_do_caju__Anacardium.pdf pdf false 806.7529ms 2026/02/19 20:54:52 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_314767da999ae7ca39886fb7a836a296]_Estudo_qu__mico_e_tecnol__gico_do_caju__Anacardium.pdf"
[UFC_7_441afd419b28a579724a7123cae5808d]_Fermenta____o_alco__lica_do_suco_de_caju__anacardi.pdf,ok,"2026/02/19 20:54:52 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_441afd419b28a579724a7123cae5808d]_Fermenta____o_alco__lica_do_suco_de_caju__anacardi.pdf pdf 2026/02/19 20:54:54 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_441afd419b28a579724a7123cae5808d]_Fermenta____o_alco__lica_do_suco_de_caju__anacardi.txt 2026/02/19 20:54:54 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_441afd419b28a579724a7123cae5808d]_Fermenta____o_alco__lica_do_suco_de_caju__anacardi.pdf pdf false 1.973827s 2026/02/19 20:54:54 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_441afd419b28a579724a7123cae5808d]_Fermenta____o_alco__lica_do_suco_de_caju__anacardi.pdf"
[UFC_7_531d9351177cc07dc912496adfe00c14]_Efeito_do_extrato_do_baga__o_do_pend__culo_de_caju.pdf,ok,"2026/02/19 20:54:54 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_531d9351177cc07dc912496adfe00c14]_Efeito_do_extrato_do_baga__o_do_pend__culo_de_caju.pdf pdf 2026/02/19 20:54:55 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_531d9351177cc07dc912496adfe00c14]_Efeito_do_extrato_do_baga__o_do_pend__culo_de_caju.txt 2026/02/19 20:54:55 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_531d9351177cc07dc912496adfe00c14]_Efeito_do_extrato_do_baga__o_do_pend__culo_de_caju.pdf pdf false 481.2404ms 2026/02/19 20:54:55 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_531d9351177cc07dc912496adfe00c14]_Efeito_do_extrato_do_baga__o_do_pend__culo_de_caju.pdf"
[UFC_7_5d88fd420edeb8e8f9de2cf22f0702dc]_Atividades_antioxidante__anti_inflamat__ria_e_cica.pdf,ok,"2026/02/19 20:54:55 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_5d88fd420edeb8e8f9de2cf22f0702dc]_Atividades_antioxidante__anti_inflamat__ria_e_cica.pdf pdf 2026/02/19 20:54:56 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_5d88fd420edeb8e8f9de2cf22f0702dc]_Atividades_antioxidante__anti_inflamat__ria_e_cica.txt 2026/02/19 20:54:56 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_5d88fd420edeb8e8f9de2cf22f0702dc]_Atividades_antioxidante__anti_inflamat__ria_e_cica.pdf pdf false 633.4914ms 2026/02/19 20:54:56 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_5d88fd420edeb8e8f9de2cf22f0702dc]_Atividades_antioxidante__anti_inflamat__ria_e_cica.pdf"
[UFC_7_6d20213f8e4e63e8e4b1b40a0fb8ac44]_Estudo_da_viabilidade_da_produ____o_de_etanol_a_pa.pdf,ok,"2026/02/19 20:54:56 Starting conversion: %s (format=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_6d20213f8e4e63e8e4b1b40a0fb8ac44]_Estudo_da_viabilidade_da_produ____o_de_etanol_a_pa.pdf pdf 2026/02/19 20:54:57 Successfully wrote to %s c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_6d20213f8e4e63e8e4b1b40a0fb8ac44]_Estudo_da_viabilidade_da_produ____o_de_etanol_a_pa.txt 2026/02/19 20:54:57 Finished conversion: %s (format=%s, tika=%t, duration=%s) c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_6d20213f8e4e63e8e4b1b40a0fb8ac44]_Estudo_da_viabilidade_da_produ____o_de_etanol_a_pa.pdf pdf false 886.6187ms 2026/02/19 20:54:57 Successfully converted file %s to txt (source=pdf)  c:\Users\Vicente\prismaid\projects\caju_beverages\03_screening\pdfs\[UFC_7_6d20213f8e4e63e8e4b1b40a0fb8ac44]_Estudo_da_viabilidade_da_produ____o_de_etanol_a_pa.pdf"
