study_id,referencia_completa,ano,tipo_documento,fonte_repositorio,url_item,idioma,area_campo,país_contexto,nota_resumo_escopo
"AVALIA____O_DA_DESTANIZA____O_DO_PED__NCULO_DE_CAJU__Anacardium_occidentale__POR_EXPOSI____O_A_VAPOR","AVALIA├ç├âO DA DESTANIZA├ç├âO DO PED├ÜNCULO DE CAJU (Anacardium occidentale) POR EXPOSI├ç├âO A VAPOR DE ETANOL","s.d.","Texto","Repository","https://repositorio.ufpb.br/jspui/handle/123456789/30191","pt","Indefinido","Brasil","O estudo objetivou avaliar a destanização do pedúnculo de caju. A metodologia principal envolveu a exposição do pedúnculo ao vapor de etanol. O resultado chave esperado é a determinação da eficácia do vapor de etanol na redução dos taninos...."
"An__lise_bibliom__trica_da_gest__o_e_aplica____o_dos_res__duos_oriundos_do_processamento_do_caju__An","An├ílise bibliom├®trica da gest├úo e aplica├º├úo dos res├¡duos oriundos do processamento do caju (Anacardium occidentale)","s.d.","Texto","Repository","https://ri.ufs.br/handle/riufs/10399","pt","Indefinido","Brasil","O estudo objetivou analisar bibliometricamente a gestão e aplicação de resíduos do processamento do caju (Anacardium occidentale), visando fornecer suporte a pesquisadores. A metodologia principal envolveu a aplicação de análise de redes para avaliar as relações entre palavras-chave e áreas temática..."
"An__lise_da_composi____o_das_cinzas_do_baga__o_do_ped__nculo_do_caj____Anacardium_occidentale_L___e_","An├ílise da composi├º├úo das cinzas do baga├ºo do ped├║nculo do caj├║ (Anacardium occidentale L.) e sua atividade antif├║ngica in vitro contra esp├®cies de Fusarium","s.d.","Texto","Repository","https://repositorio.ufc.br/handle/riufc/26139","pt","Indefinido","Brasil","Esta dissertação objetivou analisar a composição das cinzas do bagaço do pedúnculo do caju (Anacardium occidentale L.). A metodologia principal envolveu a análise laboratorial da composição das cinzas. O resultado chave investigou a atividade antifúngica in vitro dessas cinzas contra espécies de Fus..."
"Anacardium_occidentale__avalia____o_do_efeito_fotoprotetor_e_conservante_em_prepara____es_cosm__tica","Anacardium occidentale: avalia├º├úo do efeito fotoprotetor e conservante em prepara├º├Áes cosm├®ticas","s.d.","Texto","Repository","https://repositorio.ufpe.br/handle/123456789/3529","pt","Indefinido","Brasil","Esta dissertação avaliou o potencial do *Anacardium occidentale* como fotoprotetor e conservante em cosméticos. A metodologia principal envolveu a análise da atividade do extrato em preparações cosméticas. O resultado chave indicou o potencial do *Anacardium occidentale* para aplicação cosmética com..."
"Aspectos_da_avalia____o_f__sica__qu__mica__f__sico_qu__mica_e_aproveitamento_industrial_de_diferente","Aspectos da avalia├º├úo f├¡sica, qu├¡mica, f├¡sico-qu├¡mica e aproveitamento industrial de diferentes clones de caju (Anacardium occidentale, L.)","s.d.","Texto","Repository","https://repositorio.ufc.br/handle/riufc/78199","pt","Indefinido","Brasil","Este estudo avaliou as características físico-químicas e o potencial de aproveitamento industrial de diferentes clones de *Anacardium occidentale* L. A metodologia principal envolveu a análise de amostras de cajus para determinar suas propriedades. O resultado chave foi a identificação de clones com..."
"Aspectos_da_industrializa____o_da_castanha_de_caju__Anacardium_accidentale__L__","Aspectos da industrializa├º├úo da castanha de caju (Anacardium accidentale, L.)","s.d.","Texto","Repository","https://repositorio.ufc.br/handle/riufc/74581","pt","Indefinido","Brasil","A dissertação objetiva analisar aspectos da industrialização da castanha de caju. A metodologia principal envolveu a avaliação da qualidade e aceitação de produtos derivados, como creme de amêndoas, durante o período de estocagem. O resultado chave demonstra o comportamento do creme de amêndoas da c..."
"Atividade_antimicrobiana_in_vitro_dos_extratos_aquosos__hidroalco__licos_e_alco__licos_de_esp__cies_","Atividade antimicrobiana in vitro dos extratos aquosos, hidroalco├│licos e alco├│licos de esp├®cies da fam├¡lia Anacardiaceae","s.d.","Texto","Repository","https://repositorio.ufba.br/handle/ri/23279","pt","Indefinido","Brasil","O estudo objetivou verificar a atividade antimicrobiana de extratos (aquosos, hidroalcoólicos e alcoólicos) de folhas da família Anacardiaceae. A metodologia empregou difusão em ágar, testando os extratos em diferentes concentrações. Os extratos alcoólicos demonstraram maior atividade antimicrobiana..."
"Atividade_larvicida_de_Anacardium_occidentale_como_alternativa_ao_controle_de_Aedes_aegypti_e_sua_to","Atividade larvicida de Anacardium occidentale como alternativa ao controle de Aedes aegypti e sua toxicidade em Rattus norvegicus","s.d.","Texto","Repository","https://repositorio.ufba.br/handle/ri/14905","pt","Indefinido","Brasil","Este estudo avaliou o potencial larvicida do líquido da castanha de caju (LCC) e suas frações contra *Aedes aegypti*, bem como sua toxicidade em *Rattus norvegicus*. O LCC foi fracionado e as frações resultantes foram submetidas a testes larvicidas e de toxicidade oral aguda. O LCC e as frações AO2 ..."
"Atributos_qu__micos_do_solo__crescimento_e_estado_nutricional_de_cajueiro_adubado_com_farinha_de_oss","Atributos qu├¡micos do solo, crescimento e estado nutricional de cajueiro adubado com farinha de ossos e tratado com hidrogel.","s.d.","Texto","Repository","https://repositorio.ufpb.br/jspui/handle/123456789/18357","pt","Indefinido","Brasil","Indefinido..."
"Avalia____o_dos_efeitos_do_consumo_de_dietas_com_diferentes_percentuais_de_fibra_alimentar_do_baga__","Avalia├º├úo dos efeitos do consumo de dietas com diferentes percentuais de fibra alimentar do baga├ºo do caju em ratas","s.d.","Texto","Repository","http://www.repositorio.unilab.edu.br/jspui/handle/123456789/7421","pt","Indefinido","Brasil","O estudo avaliou os efeitos de dietas com diferentes percentuais de fibra alimentar do bagaço do caju em ratas. A metodologia principal envolveu a utilização de 192 ratos heterogênicos (machos e fêmeas) da linhagem Wistar, distribuídos em grupos alimentados com dietas variando na quantidade de fibra..."
"Avalia____o_sensorial_e_caracteriza____o_de_cerveja_de_trigo_adicionada_de_pseudofruto_do_caju__Anac","Avalia├º├úo sensorial e caracteriza├º├úo de cerveja de trigo adicionada de pseudofruto do caju (Anacardium occidentale, L.) e casca de laranja (Citrus sinensis)","s.d.","Texto","Repository","https://repositorio.ufc.br/handle/riufc/39653","pt","Indefinido","Brasil","O estudo objetivou avaliar sensorialmente e caracterizar cervejas de trigo com adição de pseudofruto de caju e cascas de laranja. A metodologia principal envolveu análises físico-químicas, microbiológicas e sensoriais das cervejas. A análise sensorial foi feita com consumidores. O resultado chave fo..."
"Bioatividade_de_extratos_vegetais_sobre_Ceratitis_capitata_Wiedemann__Diptera__Tephritidae_","Bioatividade de extratos vegetais sobre Ceratitis capitata Wiedemann (Diptera: Tephritidae)","s.d.","Texto","Repository","https://repositorio.ufpb.br/jspui/handle/123456789/26042","pt","Indefinido","Brasil","O estudo objetivou avaliar a bioatividade de extratos vegetais sobre *Ceratitis capitata*. A metodologia principal envolveu a análise de extratos etanólicos e hidroetanólicos de *Anacardium occidentale, Croton heliotropiifolius, Croton sonderianus* e *Mimosa tenuiflora* em pupas da mosca. Os resulta..."
"Bioprospec____o_de_plantas_medicinais___Com_atividade_antimicrobiana_e_anti_quorum_sensing","Bioprospec├º├úo de plantas medicinais  Com atividade antimicrobiana e anti-quorum sensing","s.d.","Texto","Repository","https://repositorio.ufpb.br/jspui/handle/tede/6650","pt","Indefinido","Brasil","A pesquisa objetivou a bioprospecção de plantas medicinais com potencial antimicrobiano e anti-quorum sensing. A metodologia principal envolveu a investigação da atividade biológica de extratos de plantas. O resultado chave esperado é a identificação de compostos bioativos com capacidade de inibir o..."
"CARACTERIZA____O_DAS_SEMENTES_E_DOS___LEOS_DA_AM__NDOA_DA_CASTANHA_DE_CAJU__Anacardium_occidentale_L","CARACTERIZA├ç├âO DAS SEMENTES E DOS ├ôLEOS DA AM├èNDOA DA CASTANHA DE CAJU (Anacardium occidentale L.) E PISTACHE (Pistacia Vera L.)","s.d.","Texto","Repository","https://repositorio.ufpb.br/jspui/handle/123456789/36216","pt","Indefinido","Brasil","O objetivo deste trabalho é caracterizar as sementes e os óleos da amêndoa da castanha de caju e do pistache. A metodologia principal envolveu a análise das propriedades físicas e químicas das sementes e dos óleos extraídos. O resultado chave obtido foi a identificação e quantificação dos principais..."
"CONTROLE_DE_QUALIDADE_F__SICO_QU__MICO_DE_SUCOS_CONCENTRADOS_SABOR_CAJU","CONTROLE DE QUALIDADE F├ìSICO-QU├ìMICO DE SUCOS CONCENTRADOS SABOR CAJU","s.d.","Texto","Repository","https://repositorio.ufpb.br/jspui/handle/123456789/36187","pt","Indefinido","Brasil","O objetivo do trabalho foi realizar o controle de qualidade físico-químico de sucos concentrados sabor caju. A metodologia principal envolveu a análise das características físico-químicas dos sucos. O resultado chave do estudo não está explicito no texto fornecido, somente a temática e a natureza do..."
"Caracteriza____o_f__sico_qu__mica_e_avalia____o_dos_efeitos_antibacteriano__antioxidantes_e_citot__x","Caracteriza├º├úo f├¡sico-qu├¡mica e avalia├º├úo dos efeitos antibacteriano, antioxidantes e citot├│xicos do exsudato de Anacardium occidentale L. (goma do cajueiro): um poss├¡vel tratamento para mucosite oral","s.d.","Texto","Repository","https://repositorio.ufpb.br/jspui/handle/123456789/37563","pt","Indefinido","Brasil","O estudo objetivou caracterizar o exsudato de *Anacardium occidentale* (goma do cajueiro) e avaliar suas propriedades antibacterianas, antioxidantes e citotóxicas. A metodologia principal envolveu a caracterização físico-química do exsudato e testes *in vitro* para avaliar as atividades biológicas m..."
"Caracteriza____o_morfol__gica__n__veis_de_infesta____es_e_fenologia_das_galhas_induzidas_em_Croton_H","Caracteriza├º├úo morfol├│gica, n├¡veis de infesta├º├Áes e fenologia das galhas induzidas em Croton Heliotropiifolius Kunth (EUPHORBIACEAE) ocorrente na Regi├úo Semi├írida da Bahia","2022","info:eu-repo/semantics/bachelorThesis","Repository","https://saberaberto.uneb.br/handle/20.500.11896/3881","pt","Indefinido","Brasil","O estudo objetivou caracterizar morfologicamente as galhas induzidas em *Croton heliotropiifolius* na região semiárida da Bahia, além de determinar os níveis de infestação e a fenologia dessas galhas. A metodologia envolveu a coleta e análise detalhada das galhas, com foco em sua forma, tamanho, cor..."
"Castanha_de_caju__Anacardium_occidentale__L___processo_mec__nico_de_extra____o_da_am__ndoa","Castanha de caju (Anacardium occidentale, L). processo-mec├ónico de extra├º├úo da am├¬ndoa","s.d.","Texto","Repository","https://repositorio.ufc.br/handle/riufc/70977","pt","Indefinido","Brasil","A tese objetiva analisar o processo mecânico de extração da amêndoa da castanha de caju. A metodologia principal envolveu a revisão da literatura existente sobre a industrialização da castanha de caju. O resultado chave, embora não explicitamente declarado no trecho, implica a busca por otimização e..."
"Comportamento_do_fen__meno_de_parafina____o_em___leo_pesado_na_presen__a_de_l__quido_de_castanha_de_","Comportamento do fen├┤meno de parafina├º├úo em ├│leo pesado na presen├ºa de l├¡quido de castanha de caju (Anacardium occidentale)","s.d.","Texto","Repository","https://ri.ufs.br/handle/riufs/17793","pt","Indefinido","Brasil","A dissertação investigou o comportamento da parafinação em óleo pesado na presença de Líquido de Castanha de Caju (LCC). A metodologia principal envolveu a análise da cristalinidade relativa em função da temperatura, variando as taxas de resfriamento. O resultado chave demonstra a influência da taxa..."
"Desenvolvimento_e_caracteriza____o_f__sico_qu__mica_de_bebidas_fermentadas_elaboradas_pelo_uso_de_po","Desenvolvimento e caracteriza├º├úo f├¡sico-qu├¡mica de bebidas fermentadas elaboradas pelo uso de polpa de caju","s.d.","Texto","Repository","https://ri.ufs.br/handle/riufs/13891","pt","Indefinido","Brasil","O estudo objetivou desenvolver e caracterizar físico-quimicamente bebidas fermentadas à base de polpa de caju. A metodologia principal envolveu a elaboração das bebidas e a análise de suas propriedades físico-químicas. O resultado chave foi a obtenção de bebidas fermentadas de caju com característic..."
"Desenvolvimento_e_otimiza____o_de_revestimentos_comest__veis_a_base__do_polissacar__deo_da_goma_do_c","Desenvolvimento e otimiza├º├úo de revestimentos comest├¡veis a base  do polissacar├¡deo da goma do cajueiro (Anacardium occidentale L.) para  melhorar a qualidade p├│s-colheita de frutas","s.d.","Texto","Repository","https://repositorio.ufpe.br/handle/123456789/1818","pt","Indefinido","Brasil","O estudo objetivou desenvolver e otimizar revestimentos comestíveis à base do polissacarídeo da goma do cajueiro. A metodologia envolveu a otimização da extração do polissacarídeo e a avaliação das propriedades dos revestimentos variando concentrações de polissacarídeo e Tween 80. O resultado chave ..."
"Determina____o_de_compostos_fen__licos_no_ped__nculo_de_caju","Determina├º├úo de compostos fen├│licos no ped├║nculo de caju","s.d.","Texto","Repository","https://repositorio.ufc.br/handle/riufc/35243","pt","Indefinido","Brasil","Indefinido..."
"Din__mica_interanual_2001_2020__da_cajucultura_no_munic__pio_de_Jacara___Para__ba","Din├ómica interanual(2001-2020) da cajucultura no munic├¡pio de Jacara├║-Para├¡ba","s.d.","Texto","Repository","https://repositorio.ufpb.br/jspui/handle/123456789/22164","pt","Indefinido","Brasil","O estudo objetivou analisar a dinâmica interanual da cajucultura no município de Jacaraú, Paraíba, entre 2001 e 2020. A metodologia principal envolveu a coleta e análise de dados secundários, como os da Produção Agrícola Municipal (PAM) do IBGE. O resultado chave da pesquisa consiste na descrição e ..."
"Efeito_da_pasteuriza____o_na_qualidade_e_no_teor_de_antioxidantes_naturais_em_polpa_de_frutas_tropic","Efeito da pasteuriza├º├úo na qualidade e no teor de antioxidantes naturais em polpa de frutas tropicais ÔÇô acerola (Malpighia emarginata L.) e caju (Anacardium occidentale L.)","s.d.","Texto","Repository","https://ri.ufs.br/handle/riufs/13897","pt","Indefinido","Brasil","Este estudo avaliou o impacto da pasteurização na qualidade e no teor de antioxidantes naturais em polpas de acerola e caju. A metodologia principal envolveu a aplicação do processo de pasteurização e a análise comparativa dos compostos bioativos antes e após o tratamento. O resultado chave indicou ..."
"Efeito_do_extrato_do_baga__o_do_pend__culo_de_caju__Anacardium_occidentale_L___contra_Streptococcus_","Efeito do extrato do baga├ºo do pend├║culo de caju (Anacardium occidentale L.) contra Streptococcus mutans.","s.d.","Texto","Repository","https://repositorio.ufc.br/handle/riufc/26138","pt","Indefinido","Brasil","A pesquisa investigou o efeito do extrato do bagaço do pedúnculo de caju (Anacardium occidentale L.) contra *Streptococcus mutans*. A metodologia principal envolveu a análise da atividade antimicrobiana do extrato. O resultado chave demonstrou o potencial inibitório do extrato contra a bactéria...."
"Efeito_neuroprotetor_do_extrato_hidroetan__lico_de_Anacardium_occidentale_e_do___cido_anac__rdico_no","Efeito neuroprotetor do extrato hidroetan├│lico de Anacardium occidentale e do ├ícido anac├írdico no modelo experimental animal da doen├ºa de parkinson induzido por rotenona","s.d.","Texto","Repository","https://repositorio.ufpe.br/handle/123456789/11927","pt","Indefinido","Brasil","Esta tese investigou o potencial neuroprotetor do extrato hidroetanólico de *Anacardium occidentale* (caju) e do ácido anacárdico em um modelo animal de Doença de Parkinson induzido por rotenona. A metodologia principal envolveu a administração do extrato e do ácido anacárdico em animais expostos à ..."
"Efeito_protetor_de_coprodutos_do_processamento_de_frutas_tropicais_em_cepas_probi__ticas_Lactobacill","Efeito protetor de coprodutos do processamento de frutas tropicais em cepas probi├│ticas Lactobacillus ap├│s liofiliza├º├úo e armazenamento","s.d.","Texto","Repository","https://repositorio.ufpb.br/jspui/handle/123456789/17140","pt","Indefinido","Brasil","O estudo investigou o potencial protetor de coprodutos do processamento de frutas tropicais na viabilidade de cepas probióticas *Lactobacillus* durante a liofilização e armazenamento. A metodologia principal envolveu a avaliação da sobrevivência das cepas probióticas após exposição aos coprodutos, s..."
"Encapsula____o_do_polissacar__deo_proveniente_de_Anacardium__occidentale_em_lipossomas_e_aplica____o","Encapsula├º├úo do polissacar├¡deo proveniente de Anacardium  occidentale em lipossomas e aplica├º├úo biol├│gica","s.d.","Texto","Repository","https://repositorio.ufpe.br/handle/123456789/2253","pt","Indefinido","Brasil","Esta dissertação visou encapsular o polissacarídeo de *Anacardium occidentale* em lipossomas. A metodologia principal envolveu a produção e caracterização dos lipossomas contendo o polissacarídeo. O resultado chave foi o desenvolvimento de uma formulação lipossomal para o polissacarídeo, potencialme..."
"Ensaios_farmacol__gicos_cl__nicos_de_fases_I_e_II__com_o_hidrogel_obtido_a_partir_do_extrato_etan__l","Ensaios farmacol├│gicos cl├¡nicos de fases I e II com o hidrogel obtido a partir do extrato etan├│lico bruto da casca de Anacardium occidentale Linn. no tratamento da acne vulgar.","s.d.","Texto","Repository","https://repositorio.ufpb.br/jspui/handle/tede/6860","pt","Indefinido","Brasil","Esta tese investigou o potencial do hidrogel derivado do extrato etanólico da casca de *Anacardium occidentale Linn.* no tratamento da acne vulgar. A metodologia principal consistiu em ensaios farmacológicos clínicos de fases I e II. O resultado chave esperado era avaliar a segurança e eficácia do h..."
"Ensaios_toxicol__gicos_dermais__pr___cl__nicos_e_cl__nicos_fase_i__com_o_hidrogel_do_extrato_alco__l","Ensaios toxicol├│gicos dermais, pr├®-cl├¡nicos e cl├¡nicos fase i, com o hidrogel do extrato alco├│lico das cascas do caule de anacardium occidentale linn.","s.d.","Texto","Repository","https://repositorio.ufpb.br/jspui/handle/tede/6864","pt","Indefinido","Brasil","A dissertação avaliou a segurança do hidrogel do extrato alcoólico das cascas do caule de *Anacardium occidentale* Linn. Foram realizados ensaios toxicológicos dérmicos pré-clínicos e clínicos (fase I). A metodologia incluiu testes *in vivo* e *in vitro* para determinar a toxicidade local e sistêmic..."
"Formula____o_de_iogurte_probi__tico_tipo_grego_sabor_caju__Anacardium_occidentale_L___acrescido_de_c","Formula├º├úo de iogurte probi├│tico tipo grego sabor caju (Anacardium occidentale L.) acrescido de creme e processo de obten├º├úo","s.d.","Texto","Repository","https://repositorio.ufpe.br/handle/123456789/61659","pt","Indefinido","Brasil","O objetivo da invenção é formular um iogurte probiótico tipo grego, sabor caju, com adição de creme. A metodologia principal consiste na incorporação de polpa de caju (14,5%) e creme (14%) a um iogurte base, juntamente com o probiótico *Lactobacillus acidophilus*. O resultado chave é a criação de um..."
"Goma_do_cajueiro__Anacardium_occidentale___caracteriza____o__microencapsulamento_do____bisabolol_e_a","Goma do cajueiro (Anacardium occidentale): caracteriza├º├úo, microencapsulamento do ╬▒-bisabolol e avalia├º├úo do efeito cicatrizante em camundongos","s.d.","Texto","Repository","https://repositorio.ufc.br/handle/riufc/57346","pt","Indefinido","Brasil","O estudo objetivou caracterizar a goma do cajueiro (GC), microencapsular o α-bisabolol nessa goma e avaliar seu potencial cicatrizante. A metodologia principal envolveu a caracterização físico-química da GC, o microencapsulamento do α-bisabolol utilizando a GC como matriz e testes in vivo em camundo..."
"Influence_of_different_tropical_fruits_on_biological_and_behavioral_aspects_of_the_Mediterranean_fru","Influence of different tropical fruits on biological and behavioral aspects of the Mediterranean fruit fly Ceratitis capitata (Wiedemann) (Diptera, Tephritidae)","s.d.","Texto","Repository","https://repositorio.ufba.br/handle/ri/14840","pt","Indefinido","Brasil","Este estudo avaliou o impacto de oito frutos tropicais em parâmetros biológicos e comportamentais da mosca-das-frutas *Ceratitis capitata*. Larvas foram criadas em diferentes frutos e a oviposição foi testada em experimentos de ""no-choice"". Goiaba, graviola e carambola favoreceram o desenvolviment..."
"Obten____o_da_farinha_do_ped__nculo_de_caju_e_seu_emprego_na_formula____o_de_bolo_rico_em_fibras","Obten├º├úo da farinha do ped├║nculo de caju e seu emprego na formula├º├úo de bolo rico em fibras","s.d.","Texto","Repository","https://repositorio.ufpb.br/jspui/handle/123456789/15876","pt","Indefinido","Brasil","O estudo objetivou obter farinha do pedúnculo de caju e aplicá-la na formulação de um bolo rico em fibras. A metodologia principal envolveu o processamento do pedúnculo para obtenção da farinha e sua incorporação em diferentes formulações de bolo. O resultado chave indica o potencial da farinha de p..."
"Obten____o_de_extrato_da_casca_do_cajueiro_e_sua_aplica____o_para_remo____o_de_esp__cies_met__licas_","Obten├º├úo de extrato da casca do cajueiro e sua aplica├º├úo para remo├º├úo de esp├®cies met├ílicas em matriz aquosa","s.d.","Texto","Repository","https://repositorio.ufba.br/handle/ri/41247","pt","Indefinido","Brasil","A tese objetivou obter um extrato da casca do cajueiro (ETCAJ) e avaliar sua capacidade de remover metais pesados de soluções aquosas. A metodologia principal envolveu a preparação do extrato e testes de adsorção em diferentes concentrações e volumes de ETCAJ para remover Manganês, Chumbo, Estanho e..."
"Potencial_de_coprodutos_de_frutas_tropicais_como_recursos_circulares_para_promover_a_viabilidade_pro","Potencial de coprodutos de frutas tropicais como recursos circulares para promover a viabilidade probi├│tica de Lactobacillus em bioprocessamentos e a modula├º├úo da microbiota intestinal","s.d.","Texto","Repository","https://repositorio.ufpb.br/jspui/handle/123456789/36349","pt","Indefinido","Brasil","A tese investiga o potencial de coprodutos de frutas tropicais para promover a viabilidade probiótica de *Lactobacillus*. A metodologia principal envolveu a avaliação do uso desses coprodutos em bioprocessamentos. O resultado chave é a demonstração da capacidade desses coprodutos em modular a microb..."
"Potencial_emulsificante_do_arabinogalactano_de_Anacardium_occidentale_em_emuls__es_do_tipo___leo_em_","Potencial emulsificante do arabinogalactano de Anacardium occidentale em emuls├Áes do tipo ├│leo em ├ígua (O/A)","s.d.","Texto","Repository","https://repositorio.ufpe.br/handle/123456789/52326","pt","Indefinido","Brasil","O estudo investigou o potencial emulsificante do arabinogalactano extraído do *Anacardium occidentale* (caju) em emulsões óleo em água (O/A). A metodologia central provavelmente envolveu a formulação de emulsões O/A utilizando o arabinogalactano como emulsificante e a avaliação da estabilidade e pro..."
"Produ____o_e_recupera____o_de_xilose_redutase_a_partir_do_hidrolisado_do_baga__o_do_ped__nculo_do_ca","Produ├º├úo e recupera├º├úo de xilose redutase a partir do hidrolisado do baga├ºo do ped├║nculo do caju (Anacardium occidentale L.)","s.d.","Texto","Repository","https://repositorio.ufpb.br/jspui/handle/123456789/12738","pt","Indefinido","Brasil","Este estudo objetivou a produção e recuperação da xilose redutase a partir do hidrolisado do bagaço do pedúnculo do caju. A metodologia principal envolveu a utilização do hidrolisado como substrato para a produção enzimática. O resultado chave foi a obtenção e caracterização da xilose redutase a par..."
"Recupera____o_de___rea_degradada_por_minera____o_a_partir_do_uso_de_seu_rejeito","Recupera├º├úo de ├írea degradada por minera├º├úo a partir do uso de seu rejeito","s.d.","Texto","Repository","https://repositorio.ufpe.br/handle/123456789/23852","pt","Indefinido","Brasil","A tese investiga a recuperação de áreas degradadas pela mineração através da utilização do próprio rejeito da mineração de quartzito. A metodologia principal envolveu o cultivo de plantas (A. occidentale e P. guajava) em casa de vegetação, utilizando substratos compostos por rejeito de mineração, co..."
"Uso_do_extrato_proteico_da_semente_da_Moringa_Oleifera_e_extratos_bacteriana_de_Actinobacteria_na_in","Uso do extrato proteico da semente da Moringa Oleifera e extratos bacteriana de Actinobacteria na inibi├º├úo da germina├º├úo de con├¡dios de Erysiphe quercicola, agente causal do o├¡dio do cajueiro","s.d.","Texto","Repository","http://www.repositorio.unilab.edu.br/jspui/handle/123456789/3537","pt","Indefinido","Brasil","Este estudo investigou a capacidade do extrato proteico da semente de *Moringa oleifera* e extratos bacterianos de *Actinobacteria* em inibir a germinação de conídios de *Erysiphe quercicola*, fungo causador do oídio do cajueiro. A metodologia principal envolveu a aplicação dos extratos e a avaliaçã..."
"Utiliza____o_do_polissacar__deo_da_goma_de_cajueiro__Anacardium_occidentale__em_cicratiza____o_cut__","Utiliza├º├úo do polissacar├¡deo da goma de cajueiro (Anacardium occidentale) em cicratiza├º├úo cut├ónea experimental","s.d.","Texto","Repository","https://repositorio.ufpe.br/handle/123456789/1912","pt","Indefinido","Brasil","O objetivo do estudo foi investigar o potencial cicatrizante do polissacarídeo da goma de cajueiro (Anacardium occidentale L.) em feridas cutâneas. A metodologia principal envolveu a aplicação tópica de emulsões contendo o polissacarídeo em feridas experimentais em camundongos. O resultado chave dem..."